Ano,Ciclo,Programa,Nome da Startup,Site,Estado,Status,Área de Negócio,Resumo
2024,2024.1,InovAtiva Brasil,Collection Center,https://www.collectioncenter.com.br/,Bahia,Graduada,Setor financeiro,"Uze Collection is a Brazilian startup offering a complete debt collection solution. They focus on recovering delinquent portfolios with customized strategies and real-time tracking. Services include debt renegotiation, eliminating collection team needs, and CRM optimization with flexible plans."
2024,2024.1,InovAtiva Brasil,Comments,https://commentstech.com/,Sergipe,Acelerada,Marketing e Mídia,"Comments AI helps businesses manage online reviews from Google, Facebook, and 40+ platforms like Airbnb and Amazon in one place. It uses AI to automate responses and increase customer engagement. The service aims to improve online reputation and drive sales through positive reviews and increased digital authority."
2024,2024.1,InovAtiva Brasil,Compartilhe Saúde,https://hml.sejacompartilhe.com.br/,Espírito Santo,Graduada,Saúde,"Compartilhe Saúde offers accessible healthcare services, including online consultations and discounted access to over 45 medical specialties. It is not a health plan, but rather an intermediary service. They provide digital solutions for health professionals to expand their reach."
2024,2024.1,InovAtiva Brasil,Comuniverso - Cultura de Comunicação Interna Positiva,http://www.comuniverso.com.br,Santa Catarina,Graduada,Educação,"Comuniverso offers a ""Cultura de Comunicação Positiva"" methodology for clear and positive workplace interactions. They provide training, courses, and immersive programs to improve team communication. Organizations are seeking positive environments, leading to employee retention and better business results."
2024,2024.1,InovAtiva Brasil,Controllei BPO Financeiro,https://controllei.com/,Rondônia,Graduada,Setor financeiro,"The website is under construction and building something innovative.
Users are asked to wait for the launch of the new site.
They can follow the provided Instagram link for updates on progress."
2024,2024.1,InovAtiva Brasil,De Carona Pelo Mundo,https://www.instagram.com/decaronapelomundo/,São Paulo,Graduada,Turismo e Hotelaria,Not enough information
2024,2024.1,InovAtiva Brasil,Dentalcubic 3d Printer,http://www.dentalcubic3dprinter.com.br,Rio de Janeiro,Graduada,Saúde,Invalid link
2024,2024.1,InovAtiva Brasil,DGTAX,https://www.dgtax.com.br/,Bahia,Graduada,Setor financeiro,"DGTAX is a Brazilian startup offering a digital platform for fiscal and tax management. It focuses on data security and provides tools for analyzing SPED, ECD, and ECF. The platform helps businesses identify tax incentives and reduce compliance costs."
2024,2024.1,InovAtiva Brasil,Dispositivo para Medir as Impurezas dos Combustíveis - DMIC,,Paraíba,Acelerada,Automóveis,No URL provided
2024,2024.1,InovAtiva Brasil,DynamicFlow (DyFlow),https://lp.iform.online/,Amapá,Graduada,Tecnologia da Informação e Comunicação,"iForm offers a platform to create personalized apps for process automation, data collection, and workflow optimization. It provides features like custom forms, automated processes, and insightful reports with easy integration. The platform offers pricing plans, including a basic R$ 125/month plan and custom solutions."
2024,2024.1,InovAtiva Brasil,Easy Ofertas,http://www.easyofertasapp.com.br,Santa Catarina,Acelerada,Comércio Eletrônico,Easy Ofertas' website provides limited information about Brazil's startups. The site appears to focus on deals. It was developed by Elo Ideias.
2024,2024.1,InovAtiva Brasil,Ego Tecnologia e Mediação na Saúde Mental - Ego2Save,https://www.ego2save.com,,Graduada,Saúde,"Ego is a platform utilizing AI and facial scanning to monitor and support individuals' emotional and mental well-being in real-time. It offers solutions for companies, clinics, and schools to identify those needing immediate support. The platform uses a face-scanning app and alert system to inform caregivers."
2024,2024.1,InovAtiva Brasil,ELMO,http://www.elmosolution.com,Paraíba,Acelerada,Alimentos,"ELMO transforms ideas into high-quality, revenue-generating food service businesses, specializing in mobile solutions like food trucks and carts. They handle design, customization, and regulatory compliance. Benefits include lower costs, mobility, and easier scalability compared to fixed locations."
2024,2024.1,InovAtiva Brasil,eMecânico,https://www.emecanico.com.br/,São Paulo,Acelerada,Automóveis,"eMecânico is a platform designed to simplify workshop management, offering tools for budget creation, service scheduling, and financial oversight. It includes features like integrated maintenance history, smart customer registration, and a client app. A 30-day guarantee is offered to test all functionalities risk-free."
2024,2024.1,InovAtiva Brasil,"EmpreendaRio, a Gestão Empresarial fácil para empreender",https://empreendario.com.br,Rio de Janeiro,Acelerada,Tecnologia da Informação e Comunicação,"Inova is a platform designed for Brazilian small businesses to accelerate digital transformation. It offers tools to automate tasks, centralize finances, and improve customer service. The platform provides integrations with WhatsApp/email, real-time dashboards, and aims to increase productivity and scalability."
2024,2024.1,InovAtiva Brasil,Evolutris,http://www.evolutris.com.br,São Paulo,Graduada,Saúde,Invalid link
2024,2024.1,InovAtiva Brasil,Expandify,http://expandify.com.br/,São Paulo,Graduada,Varejo,"Expandify is a Brazilian startup that helps real estate companies increase website engagement and generate leads. They provide strategic data about property surroundings, offering a complete view for potential clients. Their services include interactive searches and easy integration, with tiered pricing plans based on property volume."
2024,2024.1,InovAtiva Brasil,Faço a Conta,http://www.facoaconta.com.br,Amazonas,Graduada,Setor financeiro,"Faço a Conta is a Brazilian fintech startup offering financial, fiscal, and tax management solutions. It helps small businesses and industries reduce costs and optimize tax payments using AI-powered insights. The platform provides tools for invoicing, stock control, and personnel management, targeting up to 69% cost reduction."
2024,2024.1,InovAtiva Brasil,Finesse,http://finesse_on,São Paulo,Graduada,Cosméticos,Invalid link
2024,2024.1,InovAtiva Brasil,Fishing Booking,https://fishingbooking.com.br/,Minas Gerais,Acelerada,Pesca,Not enough information
2024,2024.1,InovAtiva Brasil,Flash Reader,https://www.instagram.com/flashreaderbr/,Santa Catarina,Graduada,Educação,Not enough information
2024,2024.1,InovAtiva Brasil,Flowi,http://www.flowi.eco.br,Distrito Federal,Acelerada,Tecnologias Sustentáveis e Verdes,Invalid link
2024,2024.1,InovAtiva Brasil,G&P Finanças para Mulheres Negras,https://gepfinancas.com.br,São Paulo,Graduada,Setor financeiro,"The website encountered a connection timeout (Error 522) between Cloudflare and the origin server. This prevents the page from loading. Visitors should try again later, while website owners should contact their hosting provider about server resource issues."
2024,2024.1,InovAtiva Brasil,Gen&Vita,https://sites.google.com/view/gnv-biotech/home,São Paulo,Graduada,Agronegócio,GNV Biotech is a Brazilian startup focused on biotechnology solutions. They develop innovative molecules to meet producer demands. They aim to boost productivity and promote sustainable agriculture using Brazil's biodiversity.
2024,2024.1,InovAtiva Brasil,GIFT & LOVE,http://Giftlove.com.br,Amapá,Graduada,Outros serviços,"Gift & Love is a platform for sending virtual gift cards via WhatsApp. Users can personalize messages and recipients can choose their preferred gift from partner stores. The service emphasizes convenience, sustainability and recipient choice."
2024,2024.1,InovAtiva Brasil,Global Touch,http://www.globaltouch.com.br,Espírito Santo,Graduada,Outros serviços,Invalid link
2024,2024.1,InovAtiva Brasil,Gubi Tecnologia Educacional,https://gubi.com.br/,São Paulo,Graduada,Educação,"Gubi is a Brazilian startup providing a digital game tool for learning and development. It benefits students and professionals by improving problem-solving, decision-making, and memory. The game ""Discovery"" offers interactive experiences, helping users explore over 130 professions and identify their strengths."
2024,2024.1,InovAtiva Brasil,Hapy,https://hapy.com.br,Rio Grande do Sul,Graduada,Eventos,"Hapy is a platform simplifying party planning in Brazil. It offers personalized websites, online invitations, and gift lists for various celebrations. Users can create free accounts, customize sites, and easily share details with guests."
2024,2024.1,InovAtiva Brasil,Hedera,https://instagram.com/app.hedera,Minas Gerais,Acelerada,Saúde,Not enough information
2024,2024.1,InovAtiva Brasil,HelpCars,https://helpcars.com.br,São Paulo,Acelerada,Automóveis,"HelpCars is a Brazilian startup offering on-demand towing services via a mobile app and web platform. They utilize AI to quickly connect users with nearby tow truck drivers, providing transparent pricing. The app allows users to track the tow in real-time and offers various payment options."
2024,2024.1,InovAtiva Brasil,HRmione,https://bento.me/hrmione,Maranhão,Graduada,Recursos Humanos,HRmione helps HR departments develop future leaders through corporate education solutions like workshops and training. They offer a digital community for leadership development and connection. The startup won awards for leadership development and offers various resources.
2024,2024.1,InovAtiva Brasil,Hubee design,http://Hubee.co,São Paulo,Graduada,Eletroeletrônicos,"Hubee offers an all-in-one design subscription service, blending talent and technology. They provide fast, high-quality designs with agile scalability, claiming up to 50% cost savings. Various subscription plans cater to different needs, with unlimited requests and editable files."
2024,2024.1,InovAtiva Brasil,Humano3D,http://www.humano3d.com.br,Amapá,Acelerada,Educação,"Humano3D is a Brazilian startup developing a virtual human anatomy lab app. It offers 3D models and interactive features to aid health science education, reducing costs and consolidating knowledge. The app is compatible with Android and provides detailed anatomical structures."
2024,2024.1,InovAtiva Brasil,Huri,https://www.hurihouse.com/,São Paulo,Acelerada,Mercado Imobiliário,Not enough information.
2024,2024.1,InovAtiva Brasil,IA Explica/S3 Tecnologia,https://iaexplica.com.br/,Amapá,Acelerada,Tecnologia da Informação e Comunicação,Invalid link
2024,2024.1,InovAtiva Brasil,Inko Criativo,https://www.inkocriativo.com/,Rio de Janeiro,Acelerada,Educação,"Inko Criativo is a Brazilian online school and studio focused on creative media arts. The school offers semester-long courses preparing artists for national and international markets, with all students getting published. As a studio, they provide creative services worldwide, treating artistic work as a deliverable."
2024,2024.1,InovAtiva Brasil,INova Contrato,http://www.inovacontrato.com.br,Espírito Santo,Graduada,Jurídico,"Inova Contrato offers accessible, secure, and clear digital contracts for businesses in Brazil. Their contracts are visually enhanced and designed for easy understanding by all parties. They also highlight the adoption of Visual Law in legal documents."
2024,2024.1,InovAtiva Brasil,Intlet,https://intlet.app/,Paraná,Graduada,Eventos,"Intlet is an event platform for attending, selling, and organizing events, available on Android and iOS. It offers a user-friendly experience for both attendees and organizers. Intlet Backstage provides tools and support for event organizers, backed by Aegis Software LTDA."
2024,2024.1,InovAtiva Brasil,IZZA,http://www.izzaweb.com.br,Rio Grande do Sul,Graduada,Varejo,"Izza is a platform simplifying procurement for schools and care facilities, connecting them with local suppliers. It offers instant quotes, free delivery, and consolidated invoicing for streamlined purchasing of food, cleaning products, and more. The platform includes ""economizza"" to optimize spending."
2024,2024.1,InovAtiva Brasil,Jacarandá Tijolos Ecológicos,http://jacarandatijoloecologico.com.br,Bahia,Acelerada,Construção civil,Invalid link
2024,2024.1,InovAtiva Brasil,Jobia,http://www.jobia.co,Bahia,Acelerada,Recursos Humanos,Invalid link
2024,2024.1,InovAtiva Brasil,KONNE,https://konnenetwork.com/,São Paulo,Acelerada,Tecnologia da Informação e Comunicação,Invalid link
2024,2024.1,InovAtiva Brasil,Labnow,https://www.labnow.com.br/,São Paulo,Acelerada,Saúde,"LabNow offers a platform connecting laboratories with healthcare providers for efficient at-home exam collection and vaccinations. They aim to make laboratory services more accessible and convenient for patients. LabNow partners with labs, offering personalized solutions to expand services and improve operational efficiency."
2024,2024.1,InovAtiva Brasil,Letter,http://www.letter.app.br,Minas Gerais,Acelerada,Setor financeiro,"The web page appears to be for ""Letter,"" a Brazilian company (LETTER BANK LTDA). The site includes sections for affiliates/franchisees and suppliers. A login area and company contact information are available."
2024,2024.1,InovAtiva Brasil,LIbrattum inteligência financeira,http://www.librattum.com.br,Santa Catarina,Graduada,Setor financeiro,"Librattum is a financial planning tool designed to help individuals and families manage their finances effectively. It offers a unique methodology for budgeting, expense tracking, and goal setting, aiming to provide a clear financial outlook. The platform offers a 30-day free trial without requiring payment information."
2024,2024.1,InovAtiva Brasil,LiciteGov,http://www.licitegov.com.br,Alagoas,Acelerada,Gestão Pública,"LiciteGov is a platform designed to simplify participation in public bids for Brazilian companies. It offers daily updates on bids, legal notices, and attachments. Key features include EAD training, document management, financial health scores of municipalities, and competitor price analysis."
2024,2024.1,InovAtiva Brasil,Lumitz | Educação Empreendedora,https://linktr.ee/sejalumitz,Pernambuco,Graduada,Educação,Not enough information.
2024,2024.1,InovAtiva Brasil,Lunatic Monkey,http://www.lunaticmonkey.com,São Paulo,Graduada,Tecnologia da Informação e Comunicação,"Lunatic Monkey is a customer relationship intelligence (CRI) platform using AI to analyze client conversations. It automates CRM tasks, extracts insights, and summarizes data. This allows for better customer understanding, improved decision-making, and increased sales and productivity."
2024,2024.1,InovAtiva Brasil,Madiba Pet,http://www.madibapet.com.br,São Paulo,Graduada,Pet,"This Brazilian startup, Madiba Pet, is an online store specializing in pet products and accessories. They offer a wide variety of items for dogs and cats, including toys, clothing, and hygiene products. The site provides customer account management, order tracking, and wholesale pricing options."
2024,2024.1,InovAtiva Brasil,MAIS SOLIDÁRIO PROGRAMAS EDUCACIONAIS,https://www.maissolidario.com.br,Bahia,Graduada,Educação,"Mais Solidário is a Brazilian platform offering scholarships for higher education. It connects students with partner institutions, providing up to 80% discounts. Users can search for courses, colleges, and scholarships based on their preferences. The platform also features news, student testimonials, and answers to frequently asked questions."
2024,2024.1,InovAtiva Brasil,Mapping Me,https://mappingme.ai/,Rio Grande do Sul,Graduada,Recursos Humanos,"Mapping Me helps companies unlock their team's potential using soft skills mapping. They identify, assess, and segment soft skills to build high-performance teams, promoting collaboration and innovation. Their AI analyzes user responses and images, respecting data privacy under LGPD."
2024,2024.1,InovAtiva Brasil,Match Jobs,https://www.matchjobsonline.com/,Minas Gerais,Acelerada,Recursos Humanos,Invalid link
2024,2024.1,InovAtiva Brasil,Matech,https://www.linkedin.com/company/matech-solution/,Pernambuco,Acelerada,Outros serviços,Not enough information
2024,2024.1,InovAtiva Brasil,MedEOR Medtech,http://www.medeor.cc,Santa Catarina,Graduada,Saúde,"Medeor MedTech is a Brazilian company focused on providing accessible, high-level technology and data solutions for healthcare professionals. They aim to improve healthcare evaluations through technology, offering tools for precise data collection and analysis. Their SP Tech product is a digital dynamometer and algometer for measuring muscle strength and pain sensitivity, integrated with a data intelligence platform."
2024,2024.1,InovAtiva Brasil,Medical AI - App de recomendação para prescrição médica,http://www.medicalai.com.br,Santa Catarina,Graduada,Saúde,"MEDICAL AI is a virtual simulation tool designed to train medical students in rational drug prescription. Using WHO criteria and clinical cases, it guides students through selecting appropriate treatments. The platform offers an intuitive interface, videos, and case studies to develop decision-making skills and is aligned with digital learning trends."
2024,2024.1,InovAtiva Brasil,Medme,http://www.medme.care,Paraná,Graduada,Saúde,"MEDME is a Brazilian startup offering physiotherapy solutions through technology. Their platform works on smartphones/tablets with internet, needing no special equipment. They offer solutions for physiotherapists, hospitals, and occupational health."
2024,2024.1,InovAtiva Brasil,Megalo Educação Digital em Saúde,https://portalmegalo.com.br/,Rio de Janeiro,Graduada,Saúde,"Megalo offers digital education solutions for the healthcare sector in Brazil. It provides interactive learning environments, custom content creation, and a marketplace for health-related digital courses. Their services include transforming existing content into engaging online courses and a learning management system."
2024,2024.1,InovAtiva Brasil,Meliva.ai,https://meliva.ai/,Goiás,Graduada,Marketing e Mídia,"Meliva.ai is a Brazilian startup that helps marketing teams save time and money by automating content creation using AI. Their platform leverages generative AI to create texts, images, voices, and videos for multiple personas from a single input. Meliva.ai has won several awards and recognitions for innovation."
2024,2024.1,InovAtiva Brasil,Meta Safety,https://metasafety.com.br/,Rio Grande do Sul,Graduada,Educação,"Meta Safety offers safety training and SIPAT (internal week for accident prevention) in virtual reality.
Their VR training provides a more immersive and engaging experience, improving knowledge retention while reducing costs.
They provide innovative and safer training programs. They also highlight reduced costs and increased engagement."
2024,2024.1,InovAtiva Brasil,Moradia Legal - seu imóvel urbano ou rural 100% reguolar,https://moradialegal.com.br/,Bahia,Graduada,Mercado Imobiliário,"Moradia Legal GovTech is a Brazilian company specializing in property regularization, both urban and rural, throughout Brazil, especially in Bahia. They offer personalized solutions, transparent pricing, and handle bureaucracy. Services include commercial, residential, land, apartment, and farm regularization."
2024,2024.1,InovAtiva Brasil,Mundo do Código,https://www.mundodocodigo.com.br/,Minas Gerais,Acelerada,Educação,Not enough information
2024,2024.1,InovAtiva Brasil,My Journey Tecnologia da Informação LTDA,https://myjourney.com.br,São Paulo,Acelerada,Saúde,"My Journey is a digital solution connecting patients and health professionals for mental healthcare in Brazil. The platform offers a free app for patients with features for self-care, symptom tracking, and professional support. It provides a web platform for professionals with patient insights and tools."
2024,2024.1,InovAtiva Brasil,Netcred Meios de Pagamento,https://netcredbrasil.com.br,Santa Catarina,Graduada,Setor financeiro,"Netcred is a Brazilian payment hub offering solutions to simplify receiving payments. It provides various tools like payment links, recurring billing, and boleto options. They aim to improve financial management and sales for businesses."
2024,2024.1,InovAtiva Brasil,New Forte Saúde,http://Newfortesaude,Amapá,Graduada,Saúde,Invalid link
2024,2024.1,InovAtiva Brasil,Nossobb,http://www.nossobb.com.br,Espírito Santo,Acelerada,Outros serviços,Not enough information
2024,2024.1,InovAtiva Brasil,NUMYY LOGTECH,http://NUMYYY.COM.BR,Minas Gerais,Acelerada,Serviços Logísticos,Invalid link
2024,2024.1,InovAtiva Brasil,Nuprego Tecnologia,https://nuprego.com/,Amazonas,Graduada,Automóveis,"Nuprego Tecnologia provides automotive emergency assistance via its app, offering services like towing, tire repair, and battery replacement. It features a marketplace for automotive products, accepting card and PIX payments. They utilize AI for automotive solutions and partner with various commercial and automotive businesses."
2024,2024.1,InovAtiva Brasil,OBRAZAP,https://obrazap.com/,Goiás,Graduada,Setor financeiro,Not enough information
2024,2024.1,InovAtiva Brasil,Openi,http://openi.com.br/,Rio de Janeiro,Acelerada,Setor financeiro,"Openi is a Brazilian platform that automates financial processes using Open Finance. It integrates with banks and accounting systems, eliminating manual data entry. The platform offers solutions for data aggregation, enrichment, reconciliation and customized workflows. It helps businesses automate financial tasks, manage cash flow, and reduce risks."
2024,2024.1,InovAtiva Brasil,Pagaíou Serviços Financeiros,https://pagaiou.com.br/,Mato Grosso do Sul,Graduada,Setor financeiro,"PagaíOu is a financial assistant app designed to simplify bill payments for individuals and businesses in Brazil. It automatically registers bills using CPF/CNPJ, sends payment reminders, and allows scheduling. Users can manage multiple accounts, share access, and pay everything with a single Pix transaction."
2024,2024.1,InovAtiva Brasil,PÉD' AÇAÍ MARKETPLACE,https://www.xn--pediaai-yxa.com.br/,Amapá,Acelerada,Agronegócio,"Péd'Açaí is a platform for buying and selling açaí products directly from producers. They offer a wide range of açaí products, including pulp, powder, beverages, and even coffee and charcoal. The platform aims to connect buyers and sellers, offering competitive prices and accessible shipping."
2024,2024.1,InovAtiva Brasil,Peplus,http://www.peplus.me,Paraná,Acelerada,Saúde,"This website is about Peplus, an app for managing personal, family, and pet health. It allows tracking appointments, exams, medications, and health history. Features include medication tracking, appointment scheduling, and health metric monitoring."
2024,2024.1,InovAtiva Brasil,PERSONAL FIT,https://apppersonalfit.com.br/ig,Goiás,Graduada,Saúde,"Personal Fit is a Brazilian app that enables personal trainers to create personalized training programs for their clients. It offers a 7-day free trial with no commitment and access via app or computer. Key features include unlimited students/training plans, media uploads, and customizable branding."
2024,2024.1,InovAtiva Brasil,PETIAU,http://www.petiau.pet,Paraná,Acelerada,Pet,Invalid link
2024,2024.1,InovAtiva Brasil,planttcê,http://www.planttce.com.br,Paraná,Acelerada,Agronegócio,"Planttce is a Brazilian startup focused on making healthy eating practical and accessible with its ""Punchs."" These are concentrated, ready-to-consume organic vegetable blends available in Green, Protein, and Purple flavors. Planttce emphasizes convenience, sustainability, and nutrition, offering a versatile way to consume vegetables."
2024,2024.1,InovAtiva Brasil,PortasPsi,https://beacons.ai/portas,Pernambuco,Graduada,Saúde,Not enough information
2024,2024.1,InovAtiva Brasil,"Predator Sports - Desempenho no atleta, precisão no esporte",https://www.linkedin.com/company/predator-sports/,Rio de Janeiro,Acelerada,Outros serviços,Not enough information
2024,2024.1,InovAtiva Brasil,PROTEGE QUIMICA - COMERCIO DE EPIS LTDA,http://www.instagram.com/protegequimica?igsh=eXFmNnE5ajJ6eThu,Rio Grande do Sul,Graduada,Agricultura,Not enough information
2024,2024.1,InovAtiva Brasil,RedCheck,https://redcheck.com.br/,Goiás,Acelerada,Saúde,"RedCheck is a Brazilian platform leveraging AI for ophthalmology image diagnostics, offering tools for report creation and outsourcing. They aim to improve access to early diagnosis through AI-powered validation and distribution of exams. The platform provides plans for individual professionals and hospitals, with a free trial offering up to 10 exams."
2024,2024.1,InovAtiva Brasil,Registra Contratos,https://www.registracontratos.com.br/,Goiás,Acelerada,Jurídico,"Registra Contratos is a platform for digital document signing and contract management with legal validity. It offers features like contract editing, version control, blockchain registration, and team collaboration. Available plans include monthly subscriptions and per-contract blockchain registration, with discounts for CFA members."
2024,2024.1,InovAtiva Brasil,Rookie Music,https://www.rookieapp.com.br/,São Paulo,Graduada,Eventos,"Rookie Music is a Brazilian platform connecting independent musicians with event organizers and venues. It aims to help musicians gain visibility and secure gigs for various events. The platform facilitates easy and secure hiring, offering personalized music experiences. Download options for Android and Apple devices are provided."
2024,2024.1,InovAtiva Brasil,Ryd,http://ryd.com.br,Minas Gerais,Acelerada,Serviços Logísticos,"Ryd is a Brazilian startup connecting delivery drivers with businesses, boasting over 45,000 active drivers. They offer a platform for companies to efficiently manage deliveries via mobile or web, serving over 100 cities. Ryd provides on-demand delivery services to various sectors like restaurants, pharmacies, and clothing stores."
2024,2024.1,InovAtiva Brasil,Serviço Fácil,http://www.servicofacil.com,Pernambuco,Graduada,Serviços domésticos,"Serviço Fácil is a platform connecting Brazilian service providers with customers seeking installation, maintenance, and repair services. Professionals can register for free to gain access to more qualified clients and manage services. The platform offers secure online payments, flexible scheduling, and opportunities for increased visibility and rewards."
2024,2024.1,InovAtiva Brasil,Seven Pesquisa e Estatísticas,https://www.instagram.com/sevenestatistica/,Santa Catarina,Acelerada,Tecnologia da Informação e Comunicação,Not enough information
2024,2024.1,InovAtiva Brasil,Smart E-tag,http://fabrasoftware.com.br,Paraná,Graduada,Tecnologia da Informação e Comunicação,"FABRA Software is a Brazilian company providing software development solutions including web, mobile, and desktop systems. They offer custom software development, app development, and LGPD consulting services to businesses. The company emphasizes innovation and efficiency, aiming to optimize business growth and ensure data protection compliance."
2024,2024.1,InovAtiva Brasil,Solução em secagem-transformação de lodo em biofertilizante,https://comercianteweb.com.br/gv/,Goiás,Acelerada,Saneamento,"Green Valley is a Brazilian technology startup focused on innovation and sustainability. They develop technologies and equipment for agro-industrial and urban waste treatment, creating renewable energy sources. The company partners with universities and institutions like Funtec, Sebrae, and Sesi-Senai."
2024,2024.1,InovAtiva Brasil,STARTLAW,http://THESTARTLAW.COM,Paraná,Graduada,Jurídico,"StartLaw is a legal tech company offering Legal as a Service to digital and innovative businesses in Brazil. They provide legal document solutions, intellectual property protection, and electronic signatures. They focus on startups, offering plans customized to their lifecycle stage and various areas of law."
2024,2024.1,InovAtiva Brasil,Suprimentes Aceleradora de Resultados,http://www.suprimentes.com.br,São Paulo,Graduada,Educação,"Suprimentes is a Brazilian Edtech startup focused on corporate training and education. They offer courses and programs in areas like supply chain, logistics, and technology. Their approach emphasizes innovation, digital skills, and adapting to the new economy."
